qseqid,sseqid,slen,qlen,length,s_cov,scov_filt,qcov,qcov_filt,pident,p_ident_cutoff,evalue,score,qstart,qend,sstart,send,gaps,positive
373153.SPD_0081,DEG10470507,234,232,233,0.995726496,yes,1.004310345,yes,39.056,no,9.82E-49,402,1,228,1,231,7,142
373153.SPD_0082,DEG10580170,449,350,233,0.518930958,no,0.665714286,no,34.764,no,1.70E-36,342,117,344,206,434,9,132
373153.SPD_0083,DEG10210213,245,203,203,0.828571429,no,1,yes,98.522,yes,8.44E-148,1052,1,203,43,245,0,202
373153.SPD_0086,DEG10380075,309,86,79,0.25566343,no,0.918604651,no,24.051,no,1.2,58,8,81,68,137,14,38
373153.SPD_0088,DEG10070115,319,309,309,0.968652038,yes,1,yes,100,yes,0,1589,1,309,11,319,0,309
373153.SPD_0089,DEG10060158,318,307,288,0.905660377,no,0.938110749,no,25,no,2.78E-17,196,25,300,37,309,27,131
373153.SPD_0090,DEG10060009,623,491,185,0.296950241,no,0.376782077,no,24.324,no,0.29,74,85,256,57,220,34,78
373153.SPD_0091,DEG10470168,319,328,317,0.993730408,yes,0.966463415,yes,65.3,no,2.84E-153,1110,2,318,4,315,5,245
373153.SPD_0092,DEG10520207,426,286,44,0.103286385,no,0.153846154,no,31.818,no,2.6,63,226,269,129,168,4,23
373153.SPD_0093,DEG10540023,1465,354,73,0.049829352,no,0.206214689,no,34.247,no,0.29,73,96,168,166,237,1,41
373153.SPD_0094,DEG10560095,324,303,92,0.283950617,no,0.303630363,no,25,no,9.1,59,137,223,53,137,12,41
373153.SPD_0095,DEG10140008,458,197,19,0.041484716,no,0.096446701,no,47.368,no,5.1,59,116,134,11,29,0,16
373153.SPD_0096,DEG10280319,134,108,102,0.76119403,no,0.944444444,no,22.549,no,0.85,60,3,101,39,125,18,42
373153.SPD_0098,DEG10070116,385,385,385,1,yes,1,yes,100,yes,0,2034,1,385,1,385,0,385
373153.SPD_0099,DEG10510199,665,616,433,0.65112782,no,0.702922078,no,38.337,no,3.06E-91,755,154,560,163,592,29,252
373153.SPD_0101,DEG10470458,216,210,207,0.958333333,yes,0.985714286,yes,25.121,no,2.18E-16,180,4,206,3,207,6,101
373153.SPD_0102,DEG10180462,454,290,282,0.621145374,no,0.972413793,yes,36.17,no,2.58E-41,372,2,275,171,448,12,153
373153.SPD_0103,DEG10020204,534,223,105,0.196629213,no,0.470852018,no,30.476,no,4.85E-11,146,109,213,415,519,0,54
373153.SPD_0104,DEG10400161,590,167,83,0.140677966,no,0.497005988,no,34.94,no,9.32E-07,110,11,89,260,342,4,42
373153.SPD_0104,DEG10400161,590,167,73,0.123728814,no,0.437125749,no,38.356,no,0.003,83,27,99,140,207,5,37
373153.SPD_0106,DEG10460341,246,82,33,0.134146341,no,0.402439024,no,42.424,no,0.12,64,5,37,135,167,0,19
373153.SPD_0107,DEG10020060,652,702,61,0.093558282,no,0.086894587,no,31.148,no,1.9,69,268,325,432,489,6,33
373153.SPD_0108,DEG10340265,226,213,217,0.960176991,yes,1.018779343,yes,42.396,no,1.57E-52,425,1,212,3,218,6,140
373153.SPD_0109,DEG10580128,732,268,248,0.338797814,no,0.925373134,no,33.871,no,2.39E-27,274,22,262,263,496,21,129
373153.SPD_0109,DEG10580128,732,268,271,0.370218579,no,1.01119403,yes,28.413,no,1.16E-18,208,4,265,1,249,31,134
373153.SPD_0110,DEG10400002,400,398,396,0.99,yes,0.994974874,yes,52.02,no,3.05E-150,1106,4,396,5,400,3,283
373153.SPD_0126,DEG10590003,839,619,105,0.125148987,no,0.169628433,no,29.524,no,0.006,89,219,313,402,506,10,53
373153.SPD_0127,DEG10380235,373,373,373,1,yes,1,yes,89.544,no,0,1742,1,373,1,373,0,355
373153.SPD_0128,DEG10470230,147,151,78,0.530612245,no,0.516556291,no,37.179,no,5.55E-08,114,26,99,16,91,6,49
373153.SPD_0129,DEG10380234,632,637,631,0.998417722,yes,0.990580848,yes,85.261,no,0,2948,1,631,1,631,0,590
373153.SPD_0130,DEG10070004,559,559,559,1,yes,1,yes,99.821,yes,0,2928,1,559,1,559,0,558
373153.SPD_0131,DEG10070005,77,77,77,1,yes,1,yes,100,yes,1.09E-50,385,1,77,1,77,0,77
373153.SPD_0132,DEG10200209,314,50,18,0.057324841,no,0.36,no,50,no,1.2,54,23,40,80,97,0,15
373153.SPD_0133,DEG10670102,898,61,39,0.043429844,no,0.639344262,no,30.769,no,1.1,55,8,46,535,573,0,22
373153.SPD_0134,DEG10070117,227,227,227,1,yes,1,yes,100,yes,4.07E-170,1200,1,227,1,227,0,227
373153.SPD_0135,DEG10050004,146,145,120,0.821917808,no,0.827586207,no,30,no,1.32E-08,118,29,138,26,142,13,58
373153.SPD_0136,DEG10070118,336,336,336,1,yes,1,yes,100,yes,0,1774,1,336,1,336,0,336
373153.SPD_0138,DEG10580084,385,401,256,0.664935065,no,0.63840399,no,25.781,no,6.27E-15,183,148,394,129,382,11,114
373153.SPD_0139,DEG10050314,250,317,106,0.424,no,0.334384858,no,38.679,no,6.01E-17,191,5,110,1,104,2,69
373153.SPD_0140,DEG10560204,582,538,526,0.903780069,no,0.977695167,yes,23.384,no,1.78E-32,328,18,517,27,537,41,252
373153.SPD_0142,DEG10260077,232,251,47,0.202586207,no,0.187250996,no,36.17,no,0.92,65,66,109,180,225,4,27
373153.SPD_0144,DEG10600047,95,287,60,0.631578947,no,0.209059233,no,28.333,no,0.035,73,6,64,15,74,1,33
373153.SPD_0145,DEG10200448,390,77,34,0.087179487,no,0.441558442,no,35.294,no,6.6,51,34,67,16,49,0,14
373153.SPD_0146,DEG10350441,410,225,47,0.114634146,no,0.208888889,no,34.043,no,2.7,62,7,53,58,102,2,27
373153.SPD_0147,DEG10470401,637,221,65,0.102040816,no,0.294117647,no,30.769,no,0.29,70,98,159,428,491,4,33
373153.SPD_0148,DEG10560340,1119,408,30,0.026809651,no,0.073529412,no,46.667,no,0.74,70,28,55,972,1001,2,22
373153.SPD_0149,DEG10070120,198,157,157,0.792929293,no,1,yes,99.363,yes,2.53E-111,803,1,157,42,198,0,157
373153.SPD_0150,DEG10580278,267,276,277,1.037453184,yes,1.003623188,yes,31.408,no,6.50E-28,267,1,266,1,261,27,134
373153.SPD_0151,DEG10580229,283,284,285,1.007067138,yes,1.003521127,yes,70.877,no,1.01E-142,1032,1,284,1,283,3,236
373153.SPD_0152,DEG10600124,376,457,194,0.515957447,no,0.424507659,no,27.835,no,9.26E-12,159,23,210,6,188,17,94
373153.SPD_0153,DEG10580358,354,353,352,0.994350282,yes,0.997167139,yes,80.682,no,0,1441,1,351,1,352,1,321
373153.SPD_0154,DEG10580228,230,230,230,1,yes,1,yes,68.696,no,4.32E-103,760,1,230,1,230,0,192
373153.SPD_0155,DEG10500096,348,189,33,0.094827586,no,0.174603175,no,33.333,no,2.5,61,95,127,215,247,0,19
373153.SPD_0156,DEG10570026,635,204,64,0.100787402,no,0.31372549,no,37.5,no,0.93,65,9,72,517,569,11,31
373153.SPD_0157,DEG10470503,589,548,226,0.383701188,no,0.412408759,no,29.646,no,3.37E-20,231,331,545,359,573,22,108
373153.SPD_0158,DEG10560452,271,428,95,0.350553506,no,0.221962617,no,30.526,no,4.18E-14,174,329,423,169,263,0,62
373153.SPD_0159,DEG10390134,407,177,37,0.090909091,no,0.209039548,no,37.838,no,1.3,63,20,56,171,207,0,21
373153.SPD_0160,DEG10070121,200,156,156,0.78,no,1,yes,100,yes,1.26E-115,831,1,156,45,200,0,156
373153.SPD_0162,DEG10580284,146,152,122,0.835616438,no,0.802631579,no,38.525,no,1.99E-24,225,26,145,25,143,5,72
373153.SPD_0163,DEG10280325,266,146,92,0.345864662,no,0.630136986,no,22.826,no,0.7,63,50,140,170,261,1,42
373153.SPD_0165,DEG10220321,618,649,659,1.066343042,yes,1.01540832,yes,31.563,no,7.70E-91,751,1,633,1,617,68,328
373153.SPD_0166,DEG10290302,158,155,155,0.981012658,yes,1,yes,57.419,no,4.66E-61,469,1,154,1,155,1,116
373153.SPD_0167,DEG10400361,561,401,401,0.714795009,no,1,yes,50.374,no,1.36E-144,1084,1,396,7,407,5,277
373153.SPD_0168,DEG10130035,219,211,217,0.99086758,yes,1.028436019,yes,42.396,no,5.92E-62,486,1,211,1,217,6,142
373153.SPD_0169,DEG10400048,368,366,353,0.95923913,yes,0.964480874,yes,35.977,no,1.39E-82,651,3,352,5,351,9,212
373153.SPD_0170,DEG10070007,197,197,197,1,yes,1,yes,99.492,yes,2.44E-141,1004,1,197,1,197,0,196
373153.SPD_0171,DEG10050212,185,187,184,0.994594595,yes,0.983957219,yes,50,no,5.79E-65,500,1,184,1,183,1,125
373153.SPD_0172,DEG10270114,238,225,157,0.659663866,no,0.697777778,no,25.478,no,0.47,67,21,170,44,185,22,72
373153.SPD_0174,DEG10210140,512,234,64,0.125,no,0.273504274,no,31.25,no,0.28,70,33,95,67,130,1,31
373153.SPD_0175,DEG10540077,314,314,314,1,yes,1,yes,70.382,no,1.26E-168,1209,1,314,1,314,0,273
373153.SPD_0176,DEG10020067,948,943,939,0.990506329,yes,0.995758218,yes,66.56,no,0,3343,5,943,6,941,3,768
373153.SPD_0177,DEG10270471,372,353,369,0.991935484,yes,1.045325779,yes,38.211,no,2.84E-66,541,2,353,4,372,17,208
373153.SPD_0179,DEG10400456,387,189,103,0.266149871,no,0.544973545,no,30.097,no,0.67,66,93,188,9,101,17,52
373153.SPD_0180,DEG10070008,88,88,88,1,yes,1,yes,100,yes,9.91E-61,453,1,88,1,88,0,88
373153.SPD_0182,DEG10290291,874,101,47,0.053775744,no,0.465346535,no,34.043,no,0.22,65,48,94,196,242,0,24
373153.SPD_0183,DEG10580014,406,418,405,0.997536946,yes,0.968899522,yes,48.395,no,7.71E-132,987,6,408,2,401,7,280
373153.SPD_0185,DEG10380143,525,510,481,0.916190476,no,0.943137255,no,43.867,no,1.06E-127,979,41,510,54,525,20,301
373153.SPD_0186,DEG10400558,439,512,110,0.250569476,no,0.21484375,no,30,no,0.61,71,49,148,102,201,20,45
373153.SPD_0187,DEG10130119,941,735,111,0.117959617,no,0.151020408,no,34.234,no,2.67E-07,127,8,111,4,114,7,55
373153.SPD_0189,DEG10180243,179,168,64,0.357541899,no,0.380952381,no,31.25,no,4.88E-04,88,90,152,90,153,1,34
373153.SPD_0190,DEG10360089,212,196,136,0.641509434,no,0.693877551,no,29.412,no,1.02E-06,110,30,165,16,144,7,56
373153.SPD_0191,DEG10400250,333,205,185,0.555555556,no,0.902439024,no,24.324,no,1.37E-06,110,18,193,6,182,17,79
373153.SPD_0192,DEG10210009,102,102,102,1,yes,1,yes,97.059,yes,1.50E-70,520,1,102,1,102,0,102
373153.SPD_0193,DEG10210010,208,208,208,1,yes,1,yes,94.231,no,1.02E-142,1016,1,208,1,208,0,203
373153.SPD_0194,DEG10210011,207,207,207,1,yes,1,yes,95.652,yes,5.87E-145,1030,1,207,1,207,0,204
373153.SPD_0195,DEG10210012,98,98,98,1,yes,1,yes,94.898,no,6.13E-64,476,1,98,1,98,0,94
373153.SPD_0196,DEG10210013,277,277,277,1,yes,1,yes,97.112,yes,0,1399,1,277,1,277,0,272
373153.SPD_0197,DEG10210014,93,93,93,1,yes,1,yes,100,yes,3.18E-66,490,1,93,1,93,0,93
373153.SPD_0198,DEG10210015,114,114,114,1,yes,1,yes,92.982,no,1.00E-71,530,1,114,1,114,0,110
373153.SPD_0199,DEG10210016,217,217,217,1,yes,1,yes,98.157,yes,1.58E-157,1115,1,217,1,217,0,216
373153.SPD_0200,DEG10210017,137,137,137,1,yes,1,yes,99.27,yes,1.80E-96,697,1,137,1,137,0,137
373153.SPD_0201,DEG10420021,68,68,68,1,yes,1,yes,85.294,no,2.98E-35,282,1,68,1,68,0,64
373153.SPD_0202,DEG10210018,86,86,86,1,yes,1,yes,100,yes,1.57E-57,431,1,86,1,86,0,86
373153.SPD_0203,DEG10210019,122,122,122,1,yes,1,yes,98.361,yes,8.46E-82,598,1,122,1,122,0,121
373153.SPD_0204,DEG10420024,101,101,101,1,yes,1,yes,88.119,no,1.29E-58,441,1,101,1,101,0,94
373153.SPD_0205,DEG10210020,180,180,180,1,yes,1,yes,96.667,yes,1.85E-126,903,1,180,1,180,0,178
373153.SPD_0206,DEG10390242,89,89,89,1,yes,1,yes,67.416,no,1.68E-39,314,1,89,1,89,0,69
373153.SPD_0207,DEG10210021,132,132,132,1,yes,1,yes,96.212,yes,9.14E-90,652,1,132,1,132,0,129
373153.SPD_0208,DEG10210022,178,178,178,1,yes,1,yes,96.629,yes,6.95E-124,886,1,178,1,178,0,176
373153.SPD_0209,DEG10540094,118,118,118,1,yes,1,yes,96.61,yes,2.68E-80,587,1,118,1,118,0,116
373153.SPD_0210,DEG10210024,164,164,164,1,yes,1,yes,95.732,yes,2.97E-109,787,1,164,1,164,0,163
373153.SPD_0211,DEG10540093,60,60,59,0.983333333,yes,0.983333333,yes,93.22,no,6.01E-35,278,1,59,1,59,0,58
373153.SPD_0212,DEG10420031,146,146,146,1,yes,1,yes,93.151,no,8.59E-96,695,1,146,1,146,0,143
373153.SPD_0213,DEG10210025,435,436,436,1.002298851,yes,1,yes,81.193,no,0,1842,1,436,1,435,1,395
373153.SPD_0214,DEG10070123,212,212,212,1,yes,1,yes,100,yes,8.65E-157,1109,1,212,1,212,0,212
373153.SPD_0215,DEG10210027,72,72,72,1,yes,1,yes,100,yes,3.16E-49,374,1,72,1,72,0,72
373153.SPD_0216,DEG10380018,121,121,121,1,yes,1,yes,97.521,yes,1.66E-81,596,1,121,1,121,0,121
373153.SPD_0217,DEG10210028,127,127,127,1,yes,1,yes,100,yes,3.69E-89,647,1,127,1,127,0,127
373153.SPD_0218,DEG10210029,312,311,310,0.993589744,yes,0.996784566,yes,91.935,no,0,1489,1,310,1,310,0,301
373153.SPD_0219,DEG10370024,128,128,128,1,yes,1,yes,99.219,yes,2.76E-90,655,1,128,1,128,0,128
373153.SPD_0225,DEG10050060,328,363,318,0.969512195,yes,0.876033058,no,41.509,no,1.37E-81,641,8,320,11,322,11,194
373153.SPD_0226,DEG10470157,341,122,98,0.287390029,no,0.803278689,no,38.776,no,4.29E-14,160,18,115,245,340,2,61
373153.SPD_0229,DEG10050081,246,258,237,0.963414634,yes,0.918604651,no,31.224,no,6.41E-33,299,6,239,5,225,19,125
373153.SPD_0230,DEG10580313,247,248,247,1,yes,0.995967742,yes,73.684,no,1.14E-136,985,1,247,1,247,0,220
373153.SPD_0231,DEG10560301,315,326,309,0.980952381,yes,0.947852761,no,36.246,no,5.91E-63,512,2,307,3,309,5,182
373153.SPD_0232,DEG10580314,107,106,105,0.981308411,yes,0.990566038,yes,78.095,no,2.87E-49,381,1,105,1,105,0,92
373153.SPD_0233,DEG10470465,100,102,96,0.96,yes,0.941176471,no,43.75,no,1.43E-21,198,4,99,3,98,0,61
373153.SPD_0234,DEG10560657,452,432,453,1.002212389,yes,1.048611111,yes,35.541,no,3.51E-67,561,5,432,7,440,44,247
373153.SPD_0235,DEG10050082,772,812,565,0.731865285,no,0.695812808,no,27.788,no,2.14E-51,487,265,808,250,767,68,253
373153.SPD_0236,DEG10470281,222,222,217,0.977477477,yes,0.977477477,yes,32.258,no,2.59E-33,297,1,213,1,216,5,120
373153.SPD_0237,DEG10410123,381,362,312,0.818897638,no,0.861878453,no,23.077,no,6.66E-06,110,25,312,41,319,57,119
373153.SPD_0238,DEG10420295,833,833,833,1,yes,1,yes,90.276,no,0,4079,1,833,1,833,0,801
373153.SPD_0239,DEG10030610,178,231,179,1.005617978,yes,0.774891775,no,24.022,no,1.30E-06,109,27,203,2,176,6,75
373153.SPD_0240,DEG10030637,141,138,73,0.517730496,no,0.528985507,no,36.986,no,0.003,79,53,124,57,123,7,37
373153.SPD_0241,DEG10070009,332,332,332,1,yes,1,yes,99.096,yes,0,1720,1,332,1,332,0,332
373153.SPD_0242,DEG10550531,603,190,41,0.067993367,no,0.215789474,no,31.707,no,0.58,66,86,126,440,480,0,19
373153.SPD_0243,DEG10210195,249,252,252,1.012048193,yes,1,yes,77.381,no,2.45E-147,1055,1,252,1,249,3,218
373153.SPD_0244,DEG10210194,267,267,267,1,yes,1,yes,65.918,no,1.07E-131,956,1,267,1,267,0,223
373153.SPD_0245,DEG10070010,419,419,419,1,yes,1,yes,99.523,yes,0,2169,1,419,1,419,0,418
373153.SPD_0246,DEG10070124,617,617,617,1,yes,1,yes,100,yes,0,3259,1,617,1,617,0,617
373153.SPD_0247,DEG10070143,98,459,89,0.908163265,no,0.193899782,no,34.831,no,1.39E-09,130,377,458,6,94,7,51
373153.SPD_0248,DEG10070011,602,602,602,1,yes,1,yes,98.339,yes,0,3146,1,602,1,602,0,599
373153.SPD_0250,DEG10470235,852,1256,944,1.107981221,yes,0.751592357,no,29.343,no,1.04E-91,805,220,1124,24,846,160,428
373153.SPD_0251,DEG10210200,137,137,137,1,yes,1,yes,98.54,yes,6.01E-96,694,1,137,1,137,0,136
373153.SPD_0252,DEG10210199,156,156,156,1,yes,1,yes,95.513,yes,2.28E-109,786,1,156,1,156,0,154
373153.SPD_0253,DEG10070012,693,693,693,1,yes,1,yes,100,yes,0,3686,1,693,1,693,0,693
373153.SPD_0254,DEG10210192,1462,1463,1463,1.000683995,yes,1,yes,88.859,no,0,7109,1,1463,1,1462,1,1386
373153.SPD_0255,DEG10450330,331,87,83,0.250755287,no,0.954022989,yes,27.711,no,0.032,69,3,82,202,279,8,41
373153.SPD_0256,DEG10120101,92,92,89,0.967391304,yes,0.967391304,yes,38.202,no,1.27E-07,104,1,89,1,87,2,52
373153.SPD_0258,DEG10020212,415,413,415,1,yes,1.004842615,yes,47.47,no,2.98E-131,983,3,413,1,413,6,274
373153.SPD_0259,DEG10350154,471,76,38,0.080679406,no,0.5,no,31.579,no,0.73,58,35,72,40,76,1,21
373153.SPD_0261,DEG10450089,461,444,84,0.182212581,no,0.189189189,no,32.143,no,0.098,77,249,326,85,168,6,38
373153.SPD_0262,DEG10580232,303,303,306,1.00990099,yes,1.00990099,yes,75.817,no,1.38E-168,1206,1,303,1,303,6,258
373153.SPD_0263,DEG10580231,269,267,267,0.992565056,yes,1,yes,76.779,no,8.77E-107,792,1,267,4,269,1,232
373153.SPD_0264,DEG10580230,330,329,330,1,yes,1.003039514,yes,87.273,no,0,1360,1,329,1,330,1,307
373153.SPD_0265,DEG10020055,336,339,337,1.00297619,yes,0.994100295,yes,64.985,no,6.30E-158,1143,1,337,1,336,1,265
373153.SPD_0266,DEG10140113,307,270,285,0.928338762,no,1.055555556,yes,27.018,no,6.59E-20,213,3,269,9,281,30,130
373153.SPD_0267,DEG10550537,437,472,469,1.073226545,yes,0.993644068,yes,40.512,no,6.51E-102,796,1,467,9,432,47,268
373153.SPD_0268,DEG10270114,238,230,77,0.323529412,no,0.334782609,no,32.468,no,0.15,71,135,209,147,220,5,39
373153.SPD_0269,DEG10070125,314,324,314,1,yes,0.969135802,yes,100,yes,0,1644,11,324,1,314,0,314
373153.SPD_0270,DEG10070126,440,440,440,1,yes,1,yes,100,yes,0,2344,1,440,1,440,0,440
373153.SPD_0271,DEG10070127,184,184,184,1,yes,1,yes,100,yes,6.18E-138,979,1,184,1,184,0,184
373153.SPD_0272,DEG10070128,270,270,270,1,yes,1,yes,100,yes,0,1426,1,270,1,270,0,270
373153.SPD_0274,DEG10210189,148,148,148,1,yes,1,yes,97.297,yes,9.26E-106,760,1,148,1,148,0,147
373153.SPD_0275,DEG10420062,130,130,130,1,yes,1,yes,94.615,no,1.74E-88,643,1,130,1,130,0,128
373153.SPD_0277,DEG10070143,98,478,98,1,yes,0.205020921,no,65.306,no,8.59E-38,333,381,478,1,98,0,76
373153.SPD_0279,DEG10030262,101,104,86,0.851485149,no,0.826923077,no,32.558,no,6.16E-12,135,1,86,1,84,2,49
373153.SPD_0280,DEG10020151,283,657,74,0.261484099,no,0.112633181,no,28.378,no,5.69E-05,105,325,398,96,169,0,41
373153.SPD_0280,DEG10020151,283,657,190,0.671378092,no,0.289193303,no,24.211,no,4.25E-04,97,220,403,100,283,12,84
373153.SPD_0281,DEG10180292,116,104,100,0.862068966,no,0.961538462,yes,38,no,5.81E-18,176,4,103,15,114,0,66
373153.SPD_0282,DEG10010227,493,168,118,0.239350913,no,0.702380952,no,22.881,no,0.18,69,45,160,1,114,6,52
373153.SPD_0283,DEG10560657,452,448,448,0.991150442,yes,1,yes,30.804,no,7.09E-46,415,21,446,18,441,46,212
